Property Type,Bed,Bath,Area,Location,Price,,,,,,,,,,,
Apartment,4,4,1500,Sector 3,"12,800,000",,,,,,,,,,,
Apartment,3,4,1503,Sector 13," 13,000,000",,,,,,,,,,,
Apartment,3,4,1525,Sector 11," 13,000,000",,,,,,,,,,,
Apartment,3,3,1508,Sector 11," 13,000,000",,,,,,,,,,,
Apartment,3,3,1626,Sector 6," 13,000,000",,,,,,,,,,,
Apartment,4,5,2590,Sector 14," 13,000,000",,,,,,,,,,,
Apartment,3,3,1690,Sector 6," 13,000,000",,,,,,,,,,,
Apartment,3,3,2150,Sector 10," 13,000,000",,,,,,,,,,,
Apartment,3,4,2104,Sector 10," 13,000,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 14," 13,000,000",,,,,,,,,,,
Apartment,3,3,1568,Sector 11," 13,000,000",,,,,,,,,,,
Apartment,3,5,1750,Sector 4," 13,000,000",,,,,,,,,,,
Apartment,4,4,1774,Sector 5," 13,000,000",,,,,,,,,,,
Apartment,4,5,2100,Sector 10," 13,000,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 13," 13,200,000",,,,,,,,,,,
Apartment,3,4,1774,Sector 5," 13,300,000",,,,,,,,,,,
Apartment,3,4,1895,Sector 5," 13,400,000",,,,,,,,,,,
Apartment,3,3,1787,Sector 9," 13,500,000",,,,,,,,,,,
Apartment,3,3,2200,Sector 9," 13,500,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 3," 13,500,000",,,,,,,,,,,
Apartment,3,3,2000,Sector 11," 13,500,000",,,,,,,,,,,
Apartment,4,3,1560,Sector 4," 13,500,000",,,,,,,,,,,
Apartment,3,3,1860,Sector 9," 13,500,000",,,,,,,,,,,
Apartment,3,3,1554,Sector 6," 13,500,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 12," 13,500,000",,,,,,,,,,,
Apartment,4,4,1880,Sector 10," 13,500,000",,,,,,,,,,,
Apartment,3,3,1630,Sector 9," 13,500,000",,,,,,,,,,,
Apartment,3,4,1830,Sector 7," 13,500,000",,,,,,,,,,,
Apartment,3,3,1750,Sector 3," 13,500,000",,,,,,,,,,,
Apartment,3,4,1835,Sector 7," 13,500,000",,,,,,,,,,,
